name,type,description,amenities,best_season,price_tier,cultural_tags,latitude,longitude
Kahun Danda,Viewpoint,"A ridge viewpoint east of Pokhara featuring the Kahun Dharahara tower. Offers panoramic views of the Annapurna range and is quieter than Sarangkot.","Hiking|Viewpoint|Sunrise View|Short Trails|Local Tea|Photography",Oct-May,Low,View|Hiking|Quiet|Daytrip|Hills,28.2345,84.0123
Dhampus,Village,"A traditional Gurung village and ridge viewpoint north of Pokhara. Gateway to regional treks with views of Annapurna and Dhaulagiri.","Hiking|Viewpoint|Sunrise View|Stone Houses|Local Food|Guest Houses",Oct-May,Low,Gurung|View|Hiking|Nature|Village,28.3248,83.8341
Astam,Village,"An eco-village focused on sustainability and organic farming. Offers 360-degree views of the Annapurna range from a peaceful ridge setting.","Eco-tourism|360 Degree View|Organic Food|Hiking|Village Walk|Local Tea",All Year,Low,Nature|Quiet|Sustainability|View|Village,28.2987,83.9012
Hemjakot,Village,"A community homestay village on the foothills of Mount Machhapuchhare. Features traditional stone architecture and authentic rural lifestyle.","Homestay|Local Food|Traditional Architecture|Village Walk|Hiking|Viewpoint",All Year,Low,Community|Culture|Gurung|Nature|Homestay,28.3122,83.9345
Lwang Ghalel,Village,"A village known for its large organic tea gardens and successful community homestays. Center for canyoning and cultural shows.","Tea Garden|Homestay|Cultural Dance|Canyoning|Local Food|Hiking",All Year,Low,Gurung|Tea|Culture|Nature|Homestay,28.3345,83.9567
Sikles,Village,"One of the largest traditional Gurung settlements in Kaski. Features stone-roofed houses and serves as the gateway to Kapuche Glacier Lake.","Traditional Village|Hiking|Cultural Experience|Local Food|Viewpoint|Museum",Oct-May,Low,Gurung|Nature|Culture|Remote|Hiking,28.3619,84.1121
Mattikhana,Viewpoint,"A tranquil hill station southwest of Pokhara on the Syangja border. Offers views of the valley and multiple surrounding districts.","Viewpoint|Hiking|Sunrise View|Nature|Paragliding|Camping",Oct-May,Low,View|Quiet|Nature|Hiking|Hills,28.1654,83.9234
Naudanda,Village,"A village on the ridge path towards Sarangkot. Famous for birdwatching and views of the Annapurna range and Phewa Lake.","Viewpoint|Birdwatching|Hiking|Nature|Road Access|Local Shops",All Year,Low,View|Nature|Birding|Roadside|Hills,28.2765,83.8890
Panchase,Viewpoint,"A high-altitude ridge and protected biodiversity area west of Pokhara. A significant spiritual site with five distinct peaks.","Hiking|360 Degree View|Sacred Site|Forest Trails|Nature|Photography",Oct-May,Low,Spiritual|Nature|View|Hiking|Remote,28.2294,83.8139
Australian Camp,Village,"A hilltop settlement at 2,100 meters offering expansive Himalayan views. A popular resting point for hikers in the Annapurna region.","Viewpoint|Hiking|Lodging|Sunrise View|Nature|Photography",Oct-May,Low,Nature|View|Hiking|Quiet|Hills,28.3012,83.8245
Pothana,Village,"A small village within the Annapurna Conservation Area surrounded by forests. Popular rest stop on the Mardi Himal trek.","Hiking|Viewpoint|Forest Trails|Lodging|Nature|Camping",Oct-May,Low,Nature|Gurung|Quiet|Hiking,28.3156,83.8412
Tangting,Village,"A pristine Gurung village northeast of Pokhara with cobblestoned paths. Maintains its traditional culture away from mainstream tourism.","Traditional Houses|Hiking|Gurung Culture|Local Food|Nature|Photography",Oct-May,Low,Gurung|Heritage|Quiet|Nature|Offbeat,28.3421,84.1023
Begnas Lake,Lake,"The second largest lake in the valley, known for pure water and a peaceful environment. Offers boating and nature walks.","Boating|Viewpoint|Local Fish|Nature|Hiking|Photography",All Year,Low,Nature|Lake|Quiet|Daytrip,28.1758,84.0955
Rupa Lake,Lake,"A tranquil freshwater lake separated from Begnas by a ridge. Prime location for birdwatching and wetland observation.","Nature|Birdwatching|Boating|Local Food|Quiet|Photography",All Year,Low,Nature|Lake|Quiet|Wetland,28.1500,84.1100
Dipang Lake,Wetland,"A small, isolated lake in Lekhnath known for high biodiversity. A quiet destination for nature lovers away from crowds.","Nature|Birdwatching|Local Walk|Quiet|Photography",All Year,Low,Nature|Lake|Quiet|Remote,28.1823,84.0567
Khaste Lake,Wetland,"A wetland lake serving as a vital bird habitat. Managed by local communities for eco-tourism and conservation.","Nature|Birdwatching|Wetland Walk|Quiet|Local Scenery",All Year,Low,Nature|Lake|Wetland|Conservation,28.1912,84.0345
Maidi Lake,Wetland,"The smallest lake in the valley cluster, characterized by marshy wetlands. An offbeat site for ecosystem observation.","Nature|Wetland Walk|Photography|Quiet",All Year,Low,Nature|Lake|Wetland|Quiet,28.1956,84.0212
